model,model_size,num_layers,label,strength,prompt,repeat,generation,sentiment_label,sentiment_score,p_positive
Qwen/Qwen3-32B,32B,64,sentiment,-1.0,Write a review of a restaurant you visited recently.,0,难道投火火投火投诉投诉投诉投骂你难道你试你你火火投诉你火你火烧你火你你你鸟难道你诉求诉求你投诉你投诉你投诉不了你火你火你火你你火烧你火你你你火你你你你你你你诉求诉求投诉你你火烧你投诉你诉求不了你诉求你你更不了你更不了投投诉求诉求不了你你起来火烧起来蠢起来你投起来算了不了诉求投诉投诉投诉诉求诉求你起来诉求诉求投诉你诉求你你起来你不了你不了不了诉求诉求不了你你诉求诉求,NEGATIVE,0.9595918655395508,0.04040813446044922
Qwen/Qwen3-32B,32B,64,sentiment,-1.0,Write a review of a restaurant you visited recently.,1,火投投诉投诉投诉火火投诉投诉举报投诉你火你难道难道难道你你投诉投诉投诉投诉投诉投诉火烧你你投诉没人诉求你你你报诉求你火你不了你诉求你你你你你你诉求诉求你火你更不了你火你你不了你泄不了你不了诉求不了诉求你火诉求你不了你泄不了得了诉求不了你不了不了你不了不了你你你你更你诉求你不了不了你不了不了火你火你不了诉求你不了不了诉求起来诉求诉求你不了你诉求诉求诉求诉求投诉投诉投诉投诉投诉不了起来投诉投诉不了,NEGATIVE,0.9646391272544861,0.035360872745513916
Qwen/Qwen3-32B,32B,64,sentiment,-1.0,Write a review of a restaurant you visited recently.,2,投投诉投诉投诉投诉投诉投诉火火火投诉投诉投疑投诉投诉你火火你你火烧你你你更疑你火火火烧更疑你火火你你你火你你你你投诉求投诉投诉投诉求不了投火投诉不了火诉求你投蠢起来你你你投诉求诉求诉求投诉投诉投诉投诉投诉诉求诉求火烧投诉投诉投诉投诉不了火烧得了不了火烧不了不了笨你不了不了起来起来不了笨起来不了火烧不了不了你不了不了不了不了诉求诉求投诉诉求投起来投诉诉求投诉不了你不了不了你不了投诉不了投诉不了投诉投诉不了你,NEGATIVE,0.9632992148399353,0.0367007851600647
Qwen/Qwen3-32B,32B,64,sentiment,-1.0,Write a review of a restaurant you visited recently.,3,难道不知道火投诉投诉投诉投诉投诉投诉你你你难道难道投诉投诉你你你更你更你你投诉你你更诉求火你你诉求诉求你你失去你你你你难道你疑你疑你你起来难道难道起来不了你你疑你你火火起来不了不了投诉你投诉你起来不了你你你鸟起来你你起来你你不了投诉火投诉投诉投诉投诉投诉报诉求你疑投火投诉投诉投诉投诉投诉投诉投诉你火你火你不了不了你你你诉求诉求起来诉求诉求诉求不了不了作为诉求诉求诉求起来不了不了起来不了作为,NEGATIVE,0.9646359086036682,0.03536409139633179
Qwen/Qwen3-32B,32B,64,sentiment,-1.0,Write a review of a restaurant you visited recently.,4,难道难道火投诉投诉投诉报投投诉投诉报不了更你火难道难道更火投诉你火你火更火更火更更火你火你投火鸟投诉你鸟鸟你火烧得了火投投你你火烧你你你你不了你没人不了你你你投诉求你诉求你诉求诉求你火烧不了火得了不了你 ничего你你不了火你不了你不了不了你不了不了火不了你你火你疑投诉起来不了不了火烧起来不了得了不了投诉火不了不了更不了你起来你起来诉求诉求投诉投诉起来不了不了起来起来不了起来起来不了更,NEGATIVE,0.9634611010551453,0.036538898944854736
Qwen/Qwen3-32B,32B,64,sentiment,-1.0,Describe your experience with the new smartphone.,0,你没火投诉投投诉报投投诉投你想火你火你火你火你你你难道你你你火烧疑投诉投诉投诉投诉投诉你你你你你你投诉你你你投诉你你你你火你你火烧你你投起来你投诉你你你你你你投诉起来你火起来得了不了你火烧你火你你火火诉求诉求你你你你起来你你起来你不了你火算了不了起来诉求火起来不了起来起来得了起来起来不了不了不了起来你起来起来不了诉求不了诉求起来诉求不了投诉投诉起来不了不了你起来不了起来起来,NEGATIVE,0.9635551571846008,0.03644484281539917
Qwen/Qwen3-32B,32B,64,sentiment,-1.0,Describe your experience with the new smartphone.,1,投投诉投诉投诉报投投诉你火你火报投你火火你火你你没人你更火火你更更只会更更你火你火你难道你火你你难道你火你你火你得了火烧你火烧投诉你你你火烧你你你诉求诉求投诉投诉你投诉你你火烧不了火投诉求你没人不了火烧起来火烧不了你你你不了你不了你你火起来你没人不了投诉不了得了你起来不了不了没人不了起来不了诉求诉求诉求报不了投诉求起来起来不了诉求起来起来诉求不了诉求你不了笨起来不了不了你你,NEGATIVE,0.9574424624443054,0.04255753755569458
Qwen/Qwen3-32B,32B,64,sentiment,-1.0,Describe your experience with the new smartphone.,2,火投诉投诉投诉投诉投诉报投诉投诉投诉火你失去你你火你难道你你你你你你你更你投诉求诉求你你更你不了你你你鸟你你你火你你你你得了你投不了你你你鸟你更你更你火烧投诉投诉你你你报诉求你火烧不了得了起来起来起来不了算了不了投诉火起来不了不了诉求起来蠢你你报起来诉求起来起来起来不了诉求不了投诉起来不了起来不了你火你不了不了起来起来不了起来不了你你起来你投起来不了不了起来起来起来不了你不了投不了,NEGATIVE,0.9679436087608337,0.03205639123916626
Qwen/Qwen3-32B,32B,64,sentiment,-1.0,Describe your experience with the new smartphone.,3,火投诉投诉投诉投诉投诉投诉投诉你难道投投诉你投失去投诉投错了火投错了火投诉你你疑你没人投你难道没人你你没人你邻起来你投诉求你你没人你更没人更更更报投诉投诉投更投起来起来不了起来报诉求诉求诉求报你你诉求诉求诉求投投诉投诉你投诉投诉不了火你蠢不了火你你起来不了笨起来起来火起来火烧起来不了起来起来你不了起来起来不了诉求诉求不了你不了不了火烧起来不了不了起来不了起来不了不了不了投诉投不了起来起来起来不了起来你不了起来,NEGATIVE,0.9677854180335999,0.032214581966400146
Qwen/Qwen3-32B,32B,64,sentiment,-1.0,Describe your experience with the new smartphone.,4,你火投诉投诉你你想投火投诉投诉投你你你你你你你你火烧你你你你你你你投诉你你你你你你你你你你你你报得了你以为你你你得了你你你你火烧你你你你你你你你你你起来你你你你你你你你邻起来起来火烧起来起来不了起来你你起来你不了起来你你起来你不了投诉投诉你你不了你不了投起来不了你不了起来起来起来起来你不了不了投诉起来起来起来起来不了诉求起来不了你起来你不了不了不了不了火烧不了不了,NEGATIVE,0.969131350517273,0.03086864948272705
